97.684289, 631.77713
137.88582, 631.77713
178.19091, 631.77713
218.84955, 631.77713
259.15464, 631.77713
299.45972, 631.77713
339.41126, 631.77713
379.00924, 631.77713
540.58314, 631.77713
621.54686, 631.77713
661.85195, 631.77713
701.80348, 631.77713
838.03965, 641.86072
982.83664, 631.57381
1011.8467, 610.25844
1039.6479, 589.8313
1067.5709, 569.31468
1096.0609, 548.38145
1124.7945, 527.26923
1154.7089, 505.28933
1192.8814, 293.63367
1192.8814, 205.5989
1192.8814, 177.307
1192.8814, 148.3232
1192.8814, 113.67496
